"","...1","Identifier","plate","adaptor_plate_well_added","...5","Taxon","Collector","Sample Number","Date","Coord 1","Coord 2","Datum","Location","Location Code","Elevation (ft asl)","Voucher","Other Documentation","Other Comments","Extractions","ng/uL","taxa_loc"
"360",361,"PELAL7_21","Plate4","G6",474,"Penstemon laricifolius ssp. laricifolius","Bonnie Heidel, F. Blomquist, P.V. Nguyen","Sheep Rock-17","39637","N41 2 20.47 to   N41 2 7.58","W107 51 4.68 to W107 50 48.11","NA","WY, Carbon County, Sheep Rock","LOC2","7200","NA","NA","NA","38183","14.3 (p.118 BJ)","Penstemon laricifolius ssp. laricifolius LOC2"
"361",362,"PELAL7_22","Plate4","G7",475,"Penstemon laricifolius ssp. laricifolius","Bonnie Heidel, F. Blomquist, P.V. Nguyen","Sheep Rock-18","39637","N41 2 20.47 to   N41 2 7.58","W107 51 4.68 to W107 50 48.11","NA","WY, Carbon County, Sheep Rock","LOC2","7200","NA","NA","NA","38183","7.8 (p.118 BJ)","Penstemon laricifolius ssp. laricifolius LOC2"
"362",363,"PELIC_01","Plate3","F10",478,"Penstemon linarioides ssp. coloradoensis","NA","P122.1","NA","NA","NA","NA","Denver Botanic Gardens, Rock Alpine Garden","LOC1","NA","NA","NA","NA","37765","5.6 (p.9 BJ)","Penstemon linarioides ssp. coloradoensis LOC1"
"363",364,"PEME2_01","Plate3","F7",480,"Penstemon mensarum","NA","P126.1","NA","NA","NA","NA","Denver Botanic Gardens, Rock Alpine Garden, CO","LOC1","NA","NA","NA","NA","37765","10.0 (p.9 BJ)","Penstemon mensarum LOC1"
"364",365,"PEMOI2_01","Plate3","F12",486,"Penstemon montanus var. idahoensis","NA","P120.1","NA","NA","NA","NA","Denver Botanic Gardens, Wildflower Treasures","LOC1","NA","NA","NA","NA","37765","18.3 (p.9 BJ)","Penstemon montanus var. idahoensis LOC1"
"365",366,"PENE3_01","Plate3","F1",487,"Penstemon newberryi","NA","P071.3","NA","NA","NA","NA","Denver Botanic Gardens, Rock Alpine Garden","LOC1","NA","NA","NA","NA","37762","44.3 (p.4-BJ)","Penstemon newberryi LOC1"
"366",367,"PENI3_01","Plate3","D9",488,"Penstemon nitidus","NA","P072.4","NA","NA","NA","NA","Denver Botanic Gardens, Rock Alpine Garden","LOC1","NA","NA","NA","NA","37762","9.9 (p.4-BJ)","Penstemon nitidus LOC1"
"367",368,"PEOS_01","Plate3","E2",491,"Penstemon osterhoutii","NA","P130.1","NA","NA","NA","NA","Denver Botanic Gardens, Research Cold Frame","LOC1","NA","NA","NA","NA","37775","7.0 (p.10 BJ)","Penstemon osterhoutii LOC1"
"368",369,"PEPA6_01","Plate3","D4",493,"Penstemon pachyphyllus","NA","PP001","NA","NA","NA","NA","Wild-collected","LOC1","NA","NA","NA","NA","39237","7.0 (p.10 BJ)","Penstemon pachyphyllus LOC1"
"369",370,"PEPI3_01","Plate3","F9",515,"Penstemon pinifolius","NA","P123.1","NA","NA","NA","NA","Denver Botanic Gardens, Wildflower Treasures","LOC1","NA","NA","NA","NA","37765","5.2 (p.9 BJ)","Penstemon pinifolius LOC1"
"370",371,"PERO10_01","Plate3","G5",516,"Penstemon rostriflorus","NA","PR001","NA","NA","NA","NA","Wild-collected","LOC1","NA","NA","NA","NA","37775","4.2 (p.10 BJ)","Penstemon rostriflorus LOC1"
"371",372,"PERY_02","Plate3","D8",518,"Penstemon rydbergii","NA","P087.1","NA","NA","NA","NA","Denver Botanic Gardens, Wildflower Treasures","LOC2","NA","NA","NA","NA","37762","17 (p.4-BJ)","Penstemon rydbergii LOC2"
"372",373,"PESCA_01","Plate3","D7",520,"Penstemon scariosus var. albifluvis","NA","P091.23","NA","NA","NA","NA","Denver Botanic Gardens, Rare Plant Garden","LOC1","NA","NA","NA","NA","37762","7.6 (p.4-BJ)","Penstemon scariosus var. albifluvis LOC1"
"373",374,"PETE9_01","Plate3","D10",528,"Penstemon teucrioides","NA","P121.1","NA","NA","NA","NA","Denver Botanic Gardens, Wildflower Treasures","LOC1","NA","NA","NA","NA","37765","12.7 (p.9 BJ)","Penstemon teucrioides LOC1"
"374",375,"PETU_02","Plate3","G2",530,"Penstemon tubaeflorus","NA","P103.2","NA","NA","NA","NA","Denver Botanic Gardens, Wildflower Treasures","LOC2","NA","NA","NA","NA","37765","37.2 (p.9 BJ)","Penstemon tubaeflorus LOC2"
"375",376,"PEVE9_01","Plate3","D2",531,"Penstemon versicolor","NA","P115.1","NA","NA","NA","NA","Denver Botanic Gardens, Wildflower Treasures","LOC1","NA","NA","NA","NA","37762","10.3 (p.4-BJ)","Penstemon versicolor LOC1"
"376",377,"PEVI4_01","Plate3","F8",533,"Penstemon virgatus","NA","P106.2","NA","NA","NA","NA","Denver Botanic Gardens, Rock Alpine Garden, NM or AZ","LOC1","NA","NA","NA","NA","37762","11.8 (p.4-BJ)","Penstemon virgatus LOC1"
"377",378,"PEWA_01","Plate3","F11",535,"Penstemon watsonii","NA","P125.1","NA","NA","NA","NA","Denver Botanic Gardens, Research Cold Frame","LOC1","NA","NA","NA","NA","37765","21.4 (p.9 BJ)","Penstemon watsonii LOC1"
"378",379,"PEWH_01","Plate3","F5",536,"Penstemon whippleanus","NA","P107.2","NA","NA","NA","NA","Denver Botanic Gardens, Rock Alpine Garden","LOC1","NA","NA","NA","NA","37762","10.1 (p.4-BJ)","Penstemon whippleanus LOC1"
